abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,0,0,1,6,3,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0,0,2,3,2,1,0,9,0,0,3,46,115
AL,Alabama,1,N/A,4,6,19,10,1,1,2,69,83,1,1,2,7,4,2,5,22,4,4,0,8,3,8,26,1,10,1,1,1,2,2,3,4,6,6,4,6,1,6,0,33,26,2,16,0,5,1,0,1,431,360
AR,Arkansas,1,4,N/A,5,18,9,0,0,1,11,3,0,4,1,8,5,2,4,25,2,0,1,2,3,35,12,0,3,0,5,2,4,2,1,4,4,21,0,4,0,1,2,19,44,3,7,1,4,2,0,0,289,199
AZ,Arizona,8,7,3,N/A,338,81,8,1,4,49,14,4,14,11,62,10,11,8,16,4,17,1,26,27,17,1,11,10,5,10,1,12,29,27,25,23,7,48,14,6,9,6,12,67,31,12,2,65,31,1,4,1210,663
CA,California,7,6,7,104,N/A,88,31,20,15,149,60,37,15,20,69,27,11,19,27,54,39,2,35,29,33,6,6,39,3,7,3,62,27,113,198,37,14,89,56,4,11,4,34,195,49,64,0,97,21,1,9,2053,3564
CO,Colorado,6,7,5,48,145,N/A,9,3,1,58,21,3,10,7,51,13,22,8,11,17,18,1,8,13,17,5,3,20,7,17,3,15,27,12,38,11,21,23,24,0,5,10,9,115,18,24,1,24,10,2,22,968,1020
CT,Connecticut,0,1,0,4,19,2,N/A,1,3,34,6,2,1,1,6,1,0,2,2,38,6,1,3,3,1,0,0,11,0,1,3,15,1,1,149,3,0,0,6,10,4,0,2,7,1,10,4,3,3,1,1,373,561
DC,DC,0,0,0,3,18,5,2,N/A,2,11,4,0,0,0,6,0,0,0,3,7,120,2,0,2,4,0,0,8,0,1,2,4,0,1,18,2,0,0,5,1,1,0,2,14,2,106,1,2,1,1,0,361,450
DE,Delaware,0,1,0,2,13,0,0,1,N/A,9,1,2,1,0,2,2,2,2,0,5,43,1,0,3,0,0,0,2,1,1,1,24,0,2,23,3,0,0,50,0,3,0,2,4,0,14,1,1,0,1,0,223,231
FL,Florida,4,54,19,45,193,84,101,15,15,N/A,220,5,21,4,149,76,22,47,51,125,113,12,95,48,52,29,7,122,3,12,31,204,12,22,346,129,22,23,145,21,57,3,98,168,15,157,14,44,41,20,5,3320,2500
GA,Georgia,0,61,3,9,83,29,19,4,6,305,N/A,1,4,0,33,12,7,6,27,15,25,1,17,9,17,16,1,57,0,5,3,32,3,5,52,39,4,2,24,1,55,1,54,57,5,37,2,11,12,3,2,1176,1104
HI,Hawaii,2,1,0,2,51,7,1,1,0,4,4,N/A,1,1,1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,8,4,4,1,13,1,0,1,0,3,14,1,6,2,10,2,0,1,155,138
IA,Iowa,0,3,0,9,16,10,1,1,1,14,4,0,N/A,0,33,5,5,2,3,0,3,1,2,22,11,1,1,5,2,33,0,0,0,0,6,2,2,3,0,0,0,6,3,18,1,4,0,6,14,0,0,253,339
ID,Idaho,4,0,0,16,126,14,1,0,1,10,5,4,0,N/A,3,2,2,0,0,1,2,1,1,1,2,1,14,0,5,0,0,2,4,12,1,0,2,45,4,0,3,0,0,8,27,3,1,69,3,0,3,403,205
IL,Illinois,1,7,3,17,89,26,6,6,8,66,28,0,36,4,N/A,73,9,13,17,10,16,1,27,21,57,4,2,12,2,4,1,16,3,6,48,39,5,3,19,2,5,0,15,50,2,24,4,17,48,2,3,877,1192
IN,Indiana,1,7,4,5,25,12,3,1,0,41,9,0,9,2,104,N/A,1,54,4,4,9,0,42,3,5,4,2,5,0,1,0,5,0,0,6,31,4,2,11,0,5,1,10,16,1,13,1,7,12,2,0,484,564
KS,Kansas,3,2,4,3,27,26,3,1,2,5,9,2,14,0,7,1,N/A,0,2,3,1,0,4,5,157,0,1,2,2,13,0,4,2,1,2,1,12,2,1,0,1,2,5,25,2,13,0,2,4,0,1,379,390
KY,Kentucky,1,11,4,5,16,4,2,0,0,28,9,1,1,0,24,51,0,N/A,7,2,1,2,4,2,2,1,0,11,1,0,0,1,2,1,6,61,5,2,3,0,4,0,27,12,1,5,2,1,2,10,0,335,391
